,Fighter,KD,Sig. str. %,Td %,Sub. att,Pass,Rev.,Sig. str. Hits,Sig. str. Attempts,Total str. Hits,Total str. Attempts,Td Hits,Td Attempts,Head Hits,Head Attempts,Body Hits,Body Attempts,Leg Hits,Leg Attempts,Distance Hits,Distance Attempts,Clinch Hits,Clinch Attempts,Ground Hits,Ground Attempts,Fighter.1,KD.1,Sig. str. %.1,Td %.1,Sub. att.1,Pass.1,Rev..1,Sig. str. Hits.1,Sig. str. Attempts.1,Total str. Hits.1,Total str. Attempts.1,Td Hits.1,Td Attempts.1,Head Hits.1,Head Attempts.1,Body Hits.1,Body Attempts.1,Leg Hits.1,Leg Attempts.1,Distance Hits.1,Distance Attempts.1,Clinch Hits.1,Clinch Attempts.1,Ground Hits.1,Ground Attempts.1,rounds,time,format,referee,url
972,Luke Sanders,1,42%,0%,0,0,0,59,140,62,143,0,0,44,121,13,16,2,3,44,119,13,19,2,2,Patrick Williams,0,55%,20%,0,0,0,61,109,68,117,1,5,15,56,15,20,31,33,53,94,8,15,0,0,3,00:05:00,3 Rnd (5-5-5),Al Guinee,http://ufcstats.com/fight-details/4210f9b11debf1fc
973,Khabib Nurmagomedov,0,44%,40%,1,7,0,134,304,172,352,6,15,122,287,7,12,5,5,100,255,0,0,34,49,Al Iaquinta,0,29%,0%,0,0,0,41,141,43,143,0,1,27,117,11,20,3,4,41,141,0,0,0,0,5,00:05:00,5 Rnd (5-5-5-5-5),Dan Miragliotta,http://ufcstats.com/fight-details/eab7b76e177e1903
974,Rose Namajunas,0,34%,50%,0,0,0,105,301,108,304,1,2,85,270,15,24,5,7,105,301,0,0,0,0,Joanna Jedrzejczyk,0,40%,0%,0,0,0,145,356,160,372,0,0,64,257,27,37,54,62,135,342,10,14,0,0,5,00:05:00,5 Rnd (5-5-5-5-5),Keith Peterson,http://ufcstats.com/fight-details/829b3ee4145a1ae6
975,Renato Moicano,0,56%,0%,0,0,0,116,206,117,207,0,0,60,133,18,27,38,46,115,205,1,1,0,0,Calvin Kattar,0,29%,0%,0,0,0,41,140,41,140,0,2,35,131,5,8,1,1,41,140,0,0,0,0,3,00:05:00,3 Rnd (5-5-5),Todd Ronald Anderson,http://ufcstats.com/fight-details/95edc0b6438f2592
976,Zabit Magomedsharipov,0,44%,45%,0,1,0,97,217,114,237,5,11,75,188,11,14,11,15,89,207,1,2,7,8,Kyle Bochniak,0,26%,0%,0,0,0,43,163,44,164,0,2,34,149,9,13,0,1,42,162,1,1,0,0,3,00:05:00,3 Rnd (5-5-5),Rob Hinds,http://ufcstats.com/fight-details/6c5f7f98ec0b6f17
977,Joe Lauzon,0,35%,0%,0,0,0,48,137,49,138,0,2,40,125,7,10,1,2,35,113,11,22,2,2,Chris Gruetzemacher,0,65%,0%,0,0,0,128,196,135,203,0,0,72,135,45,50,11,11,68,118,51,65,9,13,2,00:05:00,3 Rnd (5-5-5),Dan Miragliotta,http://ufcstats.com/fight-details/bab65d16fa74fc5b
978,Karolina Kowalkiewicz,0,50%,0%,0,1,1,126,248,140,262,0,3,82,191,31,42,13,15,80,192,43,53,3,3,Felice Herrig,0,39%,0%,0,0,0,86,216,97,228,0,5,62,181,19,25,5,10,62,178,24,38,0,0,3,00:05:00,3 Rnd (5-5-5),Keith Peterson,http://ufcstats.com/fight-details/5315bd4542b21c4b
979,Evan Dunham,0,28%,0%,0,0,0,4,14,4,14,0,0,4,14,0,0,0,0,3,13,1,1,0,0,Olivier Aubin-Mercier,1,72%,0%,0,0,0,13,18,13,18,0,0,9,14,4,4,0,0,3,5,8,9,2,4,1,00:00:53,3 Rnd (5-5-5),Todd Ronald Anderson,http://ufcstats.com/fight-details/8803935990adafc1
980,Bec Rawlings,0,45%,0%,0,0,0,88,195,89,196,0,0,46,147,14,18,28,30,82,188,6,7,0,0,Ashlee Evans-Smith,0,35%,25%,0,0,0,116,331,121,337,1,4,81,276,20,36,15,19,101,305,14,25,1,1,3,00:05:00,3 Rnd (5-5-5),Rob Hinds,http://ufcstats.com/fight-details/28f7ba820350e3a3
981,Devin Clark,0,78%,63%,0,2,0,50,64,167,200,7,11,30,38,12,16,8,10,17,24,19,24,14,16,Mike Rodriguez,0,60%,0%,0,0,0,40,66,66,95,0,0,17,39,21,23,2,4,11,35,27,29,2,2,3,00:05:00,3 Rnd (5-5-5),Dan Miragliotta,http://ufcstats.com/fight-details/12563423bf15e75d
982,Fabricio Werdum,0,54%,33%,0,3,2,48,88,83,130,3,9,30,66,12,14,6,8,22,41,1,2,25,45,Alexander Volkov,1,53%,100%,0,0,0,48,90,96,144,2,2,37,75,8,11,3,4,32,71,3,5,13,14,4,00:01:38,5 Rnd (5-5-5-5-5),Marc Goddard,http://ufcstats.com/fight-details/e835e9a4564db497
