,Winner,R_fighter,B_fighter,R_STR,B_STR,R_TD,B_TD,R_SUB,B_SUB,R_PASS,B_PASS,WEIGHT_CLASS,METHOD,DETAIL,ROUND,TIME,title_bout,link,date,location,attendance
1464,win,Edson Barboza,Beneil Dariush,30,51,0,0,0,0,0,0,Lightweight,KO/TKO,Flying Knee,2,00:03:35,0.0,http://ufcstats.com/fight-details/b47e4f0982938e5b,11-03-2017,"Fortaleza, Ceara, Brazil",14069.0
1465,win,Ray Borg,Jussier Formiga,36,30,0,0,0,0,1,1,Flyweight,U-DEC,,3,00:05:00,0.0,http://ufcstats.com/fight-details/74d4e37b97866514,11-03-2017,"Fortaleza, Ceara, Brazil",14069.0
1466,draw,Bethe Correia,Marion Reneau,43,75,2,0,0,0,1,4,Women's Bantamweight,M-DEC,,3,00:05:00,0.0,http://ufcstats.com/fight-details/b03dd50785e761a0,11-03-2017,"Fortaleza, Ceara, Brazil",14069.0
1467,win,Alex Oliveira,Tim Means,12,9,6,0,1,0,1,1,Welterweight,SUB,Rear Naked Choke,2,00:02:38,0.0,http://ufcstats.com/fight-details/24f156a78bd32026,11-03-2017,"Fortaleza, Ceara, Brazil",14069.0
1468,win,Kevin Lee,Francisco Trinaldo,15,25,1,0,1,1,3,0,Lightweight,SUB,Rear Naked Choke,2,00:03:12,0.0,http://ufcstats.com/fight-details/76602c3658d70273,11-03-2017,"Fortaleza, Ceara, Brazil",14069.0
1469,win,Sergio Moraes,Davi Ramos,39,35,0,0,0,0,0,0,Welterweight,U-DEC,,3,00:05:00,0.0,http://ufcstats.com/fight-details/f4f5049e789b7716,11-03-2017,"Fortaleza, Ceara, Brazil",14069.0
1470,win,Joe Soto,Rani Yahya,54,59,1,1,2,0,6,1,Bantamweight,U-DEC,,3,00:05:00,0.0,http://ufcstats.com/fight-details/dc169cc01d675125,11-03-2017,"Fortaleza, Ceara, Brazil",14069.0
1471,win,Michel Prazeres,Joshua Burkman,24,1,2,0,1,0,2,0,Lightweight,SUB,North-South Choke,1,00:01:42,0.0,http://ufcstats.com/fight-details/12740c6b17779fe9,11-03-2017,"Fortaleza, Ceara, Brazil",14069.0
1472,win,Jeremy Kennedy,Rony Jason,46,18,8,0,0,0,1,1,Featherweight,U-DEC,,3,00:05:00,0.0,http://ufcstats.com/fight-details/ebb94e00d6431e7a,11-03-2017,"Fortaleza, Ceara, Brazil",14069.0
1473,win,Paulo Costa,Garreth McLellan,22,6,0,0,0,0,0,0,Middleweight,KO/TKO,Punch,1,00:01:17,0.0,http://ufcstats.com/fight-details/0ace7e71f5d66bc9,11-03-2017,"Fortaleza, Ceara, Brazil",14069.0
1474,win,Tyron Woodley,Stephen Thompson,54,53,1,0,0,0,1,0,Welterweight,M-DEC,,5,00:05:00,1.0,http://ufcstats.com/fight-details/dfc8c5161ea0ccb5,04-03-2017,"Las Vegas, Nevada, USA",
1475,win,David Teymur,Lando Vannata,90,76,2,1,0,0,0,0,Lightweight,U-DEC,,3,00:05:00,0.0,http://ufcstats.com/fight-details/7ac4b9823b1e139b,04-03-2017,"Las Vegas, Nevada, USA",
1476,win,Daniel Kelly,Rashad Evans,74,53,0,1,0,0,0,0,Middleweight,S-DEC,,3,00:05:00,0.0,http://ufcstats.com/fight-details/e3ca9462ad0d7685,04-03-2017,"Las Vegas, Nevada, USA",
1477,win,Cynthia Calvillo,Amanda Cooper,13,7,1,0,3,0,2,0,Women's Strawweight,SUB,Rear Naked Choke,1,00:03:19,0.0,http://ufcstats.com/fight-details/54f9e3e1fad7a589,04-03-2017,"Las Vegas, Nevada, USA",
1478,win,Alistair Overeem,Mark Hunt,55,21,0,0,0,0,0,0,Heavyweight,KO/TKO,Knees,3,00:01:44,0.0,http://ufcstats.com/fight-details/c79b862be039d9f0,04-03-2017,"Las Vegas, Nevada, USA",
1479,win,Marcin Tybura,Luis Henrique,50,14,1,3,0,1,3,1,Heavyweight,KO/TKO,Punches,3,00:03:46,0.0,http://ufcstats.com/fight-details/42ad1437a1280294,04-03-2017,"Las Vegas, Nevada, USA",
