,Fighter,KD,Sig. str. %,Td %,Sub. att,Pass,Rev.,Sig. str. Hits,Sig. str. Attempts,Total str. Hits,Total str. Attempts,Td Hits,Td Attempts,Head Hits,Head Attempts,Body Hits,Body Attempts,Leg Hits,Leg Attempts,Distance Hits,Distance Attempts,Clinch Hits,Clinch Attempts,Ground Hits,Ground Attempts,Fighter,KD,Sig. str. %,Td %,Sub. att,Pass,Rev.,Sig. str. Hits,Sig. str. Attempts,Total str. Hits,Total str. Attempts,Td Hits,Td Attempts,Head Hits,Head Attempts,Body Hits,Body Attempts,Leg Hits,Leg Attempts,Distance Hits,Distance Attempts,Clinch Hits,Clinch Attempts,Ground Hits,Ground Attempts,rounds,time,format,referee,url
26,Francisco Trinaldo,0,66%,50%,0,3,0,117 , 175,143 , 204,2 , 4,94 , 144,14 , 22,9 , 9,85 , 133,22 , 30,10 , 12,Yancy Medeiros,1,31%,0%,0,1,1,51 , 163,71 , 184,0 , 1,36 , 134,14 , 28,1 , 1,39 , 148,4 , 6,8 , 9,3,00:05:00,3 Rnd (5-5-5),Dan Miragliotta,http://ufcstats.com/fight-details/65d777a16fce2be8
27,John Lineker,0,43%,50%,0,4,0,80 , 183,95 , 200,1 , 2,36 , 116,28 , 44,16 , 23,56 , 150,2 , 6,22 , 27,Rob Font,0,35%,0%,0,0,0,40 , 114,40 , 114,0 , 3,27 , 94,5 , 11,8 , 9,39 , 113,1 , 1,0 , 0,3,00:05:00,3 Rnd (5-5-5),Kevin MacDonald,http://ufcstats.com/fight-details/040f227553de7838
28,Rogerio Nogueira,1,51%,0%,0,0,0,30 , 58,36 , 65,0 , 0,30 , 55,0 , 3,0 , 0,23 , 50,2 , 3,5 , 5,Patrick Cummins,0,33%,0%,0,0,0,12 , 36,14 , 38,0 , 2,6 , 25,0 , 2,6 , 9,12 , 33,0 , 3,0 , 0,1,00:04:52,3 Rnd (5-5-5),Leon Roberts,http://ufcstats.com/fight-details/375c2ecb6fe54cc6
29,Sergio Moraes,0,51%,0%,1,5,0,28 , 54,56 , 84,0 , 4,21 , 44,5 , 8,2 , 2,19 , 43,3 , 4,6 , 7,Luan Chagas,1,40%,0%,0,1,1,46 , 115,58 , 128,0 , 1,23 , 82,10 , 19,13 , 14,42 , 107,2 , 2,2 , 6,3,00:05:00,3 Rnd (5-5-5),Osiris Maia,http://ufcstats.com/fight-details/bc6100e6dd239db7
30,Renato Moicano,0,34%,0%,0,1,0,44 , 129,52 , 137,0 , 0,21 , 98,5 , 11,18 , 20,41 , 124,1 , 3,2 , 2,Zubaira Tukhugov,0,25%,37%,0,0,0,29 , 112,32 , 115,3 , 8,24 , 100,5 , 12,0 , 0,26 , 106,0 , 1,3 , 5,3,00:05:00,3 Rnd (5-5-5),Eduardo Herdy,http://ufcstats.com/fight-details/958f3b45c132c3b7
31,Alistair Overeem,1,76%,100%,0,1,0,23 , 30,33 , 41,1 , 1,13 , 19,8 , 9,2 , 2,9 , 10,4 , 5,10 , 15,Andrei Arlovski,0,48%,0%,0,0,0,16 , 33,29 , 46,0 , 0,10 , 25,3 , 3,3 , 5,13 , 29,1 , 2,2 , 2,2,00:01:12,5 Rnd (5-5-5-5-5),Marc Goddard,http://ufcstats.com/fight-details/5838305c25a54ea1
32,Antonio Silva,0,0%,0%,0,0,0,0 , 1,0 , 1,0 , 0,0 , 0,0 , 1,0 , 0,0 , 1,0 , 0,0 , 0,Stefan Struve,1,81%,0%,0,0,0,13 , 16,15 , 18,0 , 0,12 , 15,1 , 1,0 , 0,1 , 1,1 , 3,11 , 12,1,00:00:16,3 Rnd (5-5-5),Leon Roberts,http://ufcstats.com/fight-details/d480d01418ae0143
33,Albert Tumenov,0,56%,0%,0,0,0,23 , 41,24 , 43,0 , 0,9 , 27,12 , 12,2 , 2,21 , 37,2 , 3,0 , 1,Gunnar Nelson,0,65%,100%,1,4,0,29 , 44,41 , 56,2 , 2,25 , 39,4 , 5,0 , 0,15 , 29,0 , 1,14 , 14,2,00:03:15,3 Rnd (5-5-5),Marc Goddard,http://ufcstats.com/fight-details/03b9922d777e430c
34,Germaine de Randamie,1,62%,0%,0,1,0,18 , 29,23 , 34,0 , 0,9 , 19,9 , 10,0 , 0,7 , 16,11 , 13,0 , 0,Anna Elmose,0,60%,0%,0,0,0,6 , 10,32 , 43,0 , 5,2 , 3,2 , 5,2 , 2,2 , 4,4 , 6,0 , 0,1,00:03:46,3 Rnd (5-5-5),Rich Mitchell,http://ufcstats.com/fight-details/692ceb2ac5fa4427
35,Nikita Krylov,0,65%,0%,1,2,1,58 , 88,115 , 152,0 , 2,33 , 55,18 , 24,7 , 9,12 , 38,27 , 30,19 , 20,Francimar Barroso,0,61%,28%,0,0,0,22 , 36,34 , 51,2 , 7,17 , 31,3 , 3,2 , 2,12 , 24,9 , 10,1 , 2,2,00:03:11,3 Rnd (5-5-5),Lukasz Bosacki,http://ufcstats.com/fight-details/61f80a1732d37288
36,Karolina Kowalkiewicz,0,45%,0%,0,1,0,119 , 261,164 , 309,0 , 1,87 , 216,22 , 33,10 , 12,85 , 212,34 , 49,0 , 0,Heather Jo Clark,0,46%,0%,0,0,1,70 , 152,134 , 219,0 , 15,46 , 115,17 , 28,7 , 9,61 , 139,9 , 13,0 , 0,3,00:05:00,3 Rnd (5-5-5),Marc Goddard,http://ufcstats.com/fight-details/c5990f9767b16c48
