,Fighter,KD,Sig. str. %,Td %,Sub. att,Pass,Rev.,Sig. str. Hits,Sig. str. Attempts,Total str. Hits,Total str. Attempts,Td Hits,Td Attempts,Head Hits,Head Attempts,Body Hits,Body Attempts,Leg Hits,Leg Attempts,Distance Hits,Distance Attempts,Clinch Hits,Clinch Attempts,Ground Hits,Ground Attempts,Fighter,KD,Sig. str. %,Td %,Sub. att,Pass,Rev.,Sig. str. Hits,Sig. str. Attempts,Total str. Hits,Total str. Attempts,Td Hits,Td Attempts,Head Hits,Head Attempts,Body Hits,Body Attempts,Leg Hits,Leg Attempts,Distance Hits,Distance Attempts,Clinch Hits,Clinch Attempts,Ground Hits,Ground Attempts,rounds,time,format,referee,url
24,Darren Till,0,56%,100%,0,0,0,49 , 87,50 , 88,1 , 1,42 , 79,1 , 1,6 , 7,32 , 67,1 , 1,16 , 19,Bojan Velickovic,0,23%,0%,0,0,0,34 , 144,69 , 181,0 , 3,16 , 109,2 , 7,16 , 28,32 , 141,0 , 1,2 , 2,3,00:05:00,3 Rnd (5-5-5),Marc Goddard,http://ufcstats.com/fight-details/b1f7bc82f7dce1b9
25,Mairbek Taisumov,1,50%,0%,0,0,0,2 , 4,2 , 4,0 , 0,1 , 2,0 , 1,1 , 1,2 , 4,0 , 0,0 , 0,Felipe Silva,0,0%,0%,0,0,0,0 , 7,0 , 7,0 , 0,0 , 6,0 , 1,0 , 0,0 , 7,0 , 0,0 , 0,1,00:01:24,3 Rnd (5-5-5),Leon Roberts,http://ufcstats.com/fight-details/b3bf1b6ad2d1a533
26,Michel Prazeres,0,54%,66%,1,15,0,26 , 48,43 , 69,4 , 6,21 , 38,5 , 10,0 , 0,11 , 31,4 , 5,11 , 12,Mads Burnell,0,33%,0%,0,0,0,10 , 30,12 , 32,0 , 0,4 , 21,5 , 8,1 , 1,8 , 27,2 , 3,0 , 0,3,00:01:26,3 Rnd (5-5-5),Kevin Sataki,http://ufcstats.com/fight-details/5afbc04a153d7efd
27,Rustam Khabilov,0,31%,27%,0,0,0,34 , 108,35 , 109,3 , 11,22 , 90,6 , 11,6 , 7,31 , 99,3 , 9,0 , 0,Desmond Green,0,42%,50%,0,0,0,47 , 111,53 , 119,1 , 2,22 , 80,7 , 12,18 , 19,39 , 96,8 , 15,0 , 0,3,00:05:00,3 Rnd (5-5-5),Neil Hall,http://ufcstats.com/fight-details/605c2ad801f594b3
28,Francimar Barroso,0,43%,14%,0,1,0,24 , 55,36 , 69,2 , 14,14 , 39,0 , 4,10 , 12,22 , 53,0 , 0,2 , 2,Aleksandar Rakic,0,30%,0%,0,0,0,46 , 150,75 , 179,0 , 0,22 , 114,10 , 16,14 , 20,44 , 144,2 , 6,0 , 0,3,00:05:00,3 Rnd (5-5-5),Marc Goddard,http://ufcstats.com/fight-details/89f83750703d5fd3
29,Mike Santiago,0,35%,28%,0,0,0,24 , 67,32 , 77,2 , 7,6 , 40,7 , 14,11 , 13,10 , 46,14 , 21,0 , 0,Zabit Magomedsharipov,0,69%,33%,2,2,2,45 , 65,70 , 97,1 , 3,34 , 52,8 , 10,3 , 3,25 , 41,8 , 11,12 , 13,2,00:04:22,3 Rnd (5-5-5),Leon Roberts,http://ufcstats.com/fight-details/ecbc282542a395c2
30,Bojan Mihajlovic,0,7%,0%,0,0,0,1 , 13,7 , 21,0 , 0,1 , 12,0 , 1,0 , 0,1 , 11,0 , 1,0 , 1,Abdul-Kerim Edilov,0,61%,100%,1,0,0,77 , 125,150 , 210,2 , 2,59 , 105,16 , 17,2 , 3,9 , 22,6 , 12,62 , 91,2,00:02:32,3 Rnd (5-5-5),Kevin Sataki,http://ufcstats.com/fight-details/af5f287198f20eb4
31,Thibault Gouti,1,47%,0%,0,0,0,41 , 86,43 , 88,0 , 0,37 , 77,3 , 6,1 , 3,24 , 54,13 , 24,4 , 8,Andrew Holbrook,0,40%,0%,0,0,0,22 , 54,22 , 54,0 , 6,14 , 39,6 , 12,2 , 3,19 , 49,3 , 5,0 , 0,1,00:04:28,3 Rnd (5-5-5),Neil Hall,http://ufcstats.com/fight-details/b7ab4cd6ce7a71dd
32,Sergio Pettis,0,32%,0%,0,0,0,76 , 235,84 , 244,0 , 1,55 , 203,11 , 17,10 , 15,72 , 230,2 , 2,2 , 3,Brandon Moreno,0,27%,50%,0,1,0,45 , 161,70 , 193,4 , 8,26 , 130,12 , 19,7 , 12,38 , 147,1 , 4,6 , 10,5,00:05:00,5 Rnd (5-5-5-5-5),John McCarthy,http://ufcstats.com/fight-details/253e42894852b26a
33,Randa Markos,0,39%,36%,0,5,1,45 , 113,71 , 141,4 , 11,40 , 106,5 , 7,0 , 0,29 , 91,6 , 9,10 , 13,Alexa Grasso,0,40%,0%,0,1,1,64 , 157,121 , 224,0 , 0,44 , 133,7 , 10,13 , 14,47 , 137,13 , 16,4 , 4,3,00:05:00,3 Rnd (5-5-5),Jerin Valel,http://ufcstats.com/fight-details/d5598322f81db6c9
34,Alan Jouban,0,55%,0%,0,0,0,5 , 9,5 , 9,0 , 0,3 , 7,1 , 1,1 , 1,5 , 9,0 , 0,0 , 0,Niko Price,1,52%,0%,0,1,0,10 , 19,10 , 19,0 , 0,6 , 15,1 , 1,3 , 3,6 , 13,0 , 0,4 , 6,1,00:01:44,3 Rnd (5-5-5),Gary Copeland,http://ufcstats.com/fight-details/cd54325a9a538837
